,Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
19166,2019-03-07,1.88,1.97,2.0,2.0,1.962,2.032,2.224,2.438,2.494,2.637,3.274428129196167,1.92523992061615,-0.40409454703330994,145.25711059570312
19167,2019-03-08,1.88,1.97,2.0,1.99,1.956,2.023,2.185,2.412,2.47,2.615,2.8131985664367676,1.9758821725845337,-1.169583797454834,35.506256103515625
19168,2019-03-08,1.88,1.97,2.0,1.99,1.956,2.023,2.185,2.412,2.47,2.615,3.1089179515838623,1.94186532497406,-0.9014223217964172,78.13147735595703
19169,2019-03-08,1.88,1.97,2.0,1.99,1.956,2.023,2.185,2.412,2.47,2.615,3.2879104614257812,1.9224867820739746,-0.49837788939476013,138.18809509277344
19170,2019-03-09,1.842,2.01,-256.0,2.039,1.962,2.023,2.185,2.412,2.469,2.615,2.8087730407714844,1.9701576232910156,-1.1651710271835327,35.91312026977539
19171,2019-03-09,1.842,2.01,-256.0,2.039,1.962,2.023,2.185,2.412,2.469,2.615,3.0595827102661133,1.9381378889083862,-0.9690172672271729,70.14610290527344
19172,2019-03-09,1.842,2.01,-256.0,2.039,1.962,2.023,2.185,2.412,2.469,2.615,3.3152947425842285,1.9252119064331055,-0.5011221766471863,142.75917053222656
19173,2019-03-10,1.842,2.01,-256.0,2.039,1.956,2.023,2.185,2.412,2.469,2.615,2.7833104133605957,1.9774422645568848,-1.1907418966293335,32.859066009521484
19174,2019-03-10,1.842,2.01,-256.0,2.039,1.956,2.023,2.185,2.412,2.469,2.615,3.0498783588409424,1.944272756576538,-0.9868099093437195,68.20207214355469
19175,2019-03-10,1.842,2.01,-256.0,2.039,1.956,2.023,2.185,2.412,2.469,2.615,3.30900502204895,1.9228630065917969,-0.5143375396728516,141.85902404785156
19176,2019-03-11,1.88,1.97,2.0,1.99,1.946,2.028,2.189,2.421,2.469,2.625,2.784052848815918,1.9775398969650269,-1.1913436651229858,33.60661697387695
19177,2019-03-11,1.88,1.97,2.0,1.99,1.946,2.028,2.189,2.421,2.469,2.625,3.076547384262085,1.938729166984558,-0.9717090129852295,73.62799072265625
19178,2019-03-11,1.88,1.97,2.0,1.99,1.946,2.028,2.189,2.421,2.469,2.625,3.339751720428467,1.924809217453003,-0.5811748504638672,141.7587890625
19179,2019-03-12,1.89,1.97,1.99,1.99,1.964,2.049,2.218,2.455,2.51,2.6260000000000003,2.784712314605713,1.9682496786117554,-1.198886752128601,33.8543586730957
19180,2019-03-12,1.89,1.97,1.99,1.99,1.964,2.049,2.218,2.455,2.51,2.6260000000000003,3.0799777507781982,1.9413468837738037,-0.9858736395835876,73.63935852050781
19181,2019-03-12,1.89,1.97,1.99,1.99,1.964,2.049,2.218,2.455,2.51,2.6260000000000003,3.342296600341797,1.9205687046051025,-0.6044668555259705,141.07159423828125
