,Date,Y01,Y02,Y03,Y05,Y07,Y10,Y15,Y20,Y30,Alpha0,Alpha1,Alpha2,Thau
13275,2019-08-28,2.526,2.661,2.8160000000000003,2.938,3.105,3.07,3.3960000000000004,3.465,3.724,3.789503335952759,2.576948642730713,-1.3198039531707764,27.172334671020508
13276,2019-08-28,2.526,2.661,2.8160000000000003,2.938,3.105,3.07,3.3960000000000004,3.465,3.724,4.056227207183838,2.497579336166382,-0.2594716250896454,77.64862823486328
13277,2019-08-28,2.526,2.661,2.8160000000000003,2.938,3.105,3.07,3.3960000000000004,3.465,3.724,4.064148902893066,2.508291244506836,0.5782259702682495,135.304931640625
13278,2019-08-29,2.555,2.67,2.8110000000000004,2.9130000000000003,3.08,3.049,3.385,3.455,3.705,3.7804410457611084,2.5881667137145996,-1.3790676593780518,26.158842086791992
13279,2019-08-29,2.555,2.67,2.8110000000000004,2.9130000000000003,3.08,3.049,3.385,3.455,3.705,4.059481143951416,2.491351842880249,-0.269841730594635,77.39730072021484
13280,2019-08-29,2.555,2.67,2.8110000000000004,2.9130000000000003,3.08,3.049,3.385,3.455,3.705,3.8889753818511963,2.4894914627075195,0.9811143279075623,139.2600860595703
13281,2019-08-30,2.537,2.674,2.8160000000000003,2.93,3.1010000000000004,3.068,3.385,3.454,3.71,3.7791318893432617,2.611924409866333,-1.409694790840149,26.019412994384766
13282,2019-08-30,2.537,2.674,2.8160000000000003,2.93,3.1010000000000004,3.068,3.385,3.454,3.71,4.057921409606934,2.4989867210388184,-0.3239401876926422,75.1383056640625
13283,2019-08-30,2.537,2.674,2.8160000000000003,2.93,3.1010000000000004,3.068,3.385,3.454,3.71,3.8303873538970947,2.482691526412964,1.1075608730316162,142.9549102783203
13284,2019-09-02,2.549,2.653,2.822,2.9530000000000003,3.114,3.0780000000000003,3.41,3.4760000000000004,3.726,3.790010929107666,2.6031887531280518,-1.3738746643066406,27.241207122802734
13285,2019-09-02,2.549,2.653,2.822,2.9530000000000003,3.114,3.0780000000000003,3.41,3.4760000000000004,3.726,4.058873653411865,2.498623847961426,-0.277778685092926,77.62821197509766
13286,2019-09-02,2.549,2.653,2.822,2.9530000000000003,3.114,3.0780000000000003,3.41,3.4760000000000004,3.726,3.83140230178833,2.487128257751465,1.0731545686721802,139.37339782714844
13287,2019-09-03,2.5340000000000003,2.668,2.83,2.958,3.123,3.077,3.422,3.49,3.746,3.749424457550049,2.6645278930664062,-1.5897752046585083,23.38080596923828
13288,2019-09-03,2.5340000000000003,2.668,2.83,2.958,3.123,3.077,3.422,3.49,3.746,4.06306266784668,2.502683162689209,-0.3762856423854828,74.65021514892578
13289,2019-09-03,2.5340000000000003,2.668,2.83,2.958,3.123,3.077,3.422,3.49,3.746,4.0339250564575195,2.507436513900757,0.5813002586364746,132.44898986816406
13290,2019-09-04,2.597,2.677,2.838,2.9610000000000003,3.13,3.0810000000000004,3.424,3.494,3.739,3.7646334171295166,2.637171983718872,-1.4867721796035767,25.212615966796875
13291,2019-09-04,2.597,2.677,2.838,2.9610000000000003,3.13,3.0810000000000004,3.424,3.494,3.739,4.07274866104126,2.507685661315918,-0.33243727684020996,77.46934509277344
13292,2019-09-04,2.597,2.677,2.838,2.9610000000000003,3.13,3.0810000000000004,3.424,3.494,3.739,3.9162752628326416,2.4965102672576904,0.888565182685852,138.7557373046875
13293,2019-09-05,2.5980000000000003,2.67,2.822,2.934,3.093,3.047,3.402,3.462,3.71,3.7745285034179688,2.6311464309692383,-1.4689009189605713,25.789112091064453
13294,2019-09-05,2.5980000000000003,2.67,2.822,2.934,3.093,3.047,3.402,3.462,3.71,4.065341949462891,2.5096170902252197,-0.373769611120224,74.54872131347656
13295,2019-09-05,2.5980000000000003,2.67,2.822,2.934,3.093,3.047,3.402,3.462,3.71,3.9442765712738037,2.500326633453369,0.8092755079269409,138.2713165283203
13296,2019-09-06,2.58,2.645,2.784,2.873,3.067,3.023,3.4,3.43,3.654,3.7538037300109863,2.672261953353882,-1.5837397575378418,23.445960998535156
13297,2019-09-06,2.58,2.645,2.784,2.873,3.067,3.023,3.4,3.43,3.654,4.072762966156006,2.5070407390594482,-0.3253632187843323,76.57233428955078
13298,2019-09-06,2.58,2.645,2.784,2.873,3.067,3.023,3.4,3.43,3.654,3.9281506538391113,2.4998114109039307,0.8522651195526123,135.7154998779297
13299,2019-09-09,2.624,2.7,2.779,2.903,3.079,3.037,3.4,3.43,3.67,3.7705001831054688,2.6629891395568848,-1.563232421875,23.781679153442383
